Head,Relation,Tail,Text,Label
disinfecting the living quarters,protects,sars-cov1,"sars-cov1 frequent mask use in public venues , frequent hand washing , and disinfecting the living quarters were significant protective factors",Treatment
major new lineages of sars-cov-2,identifies,south africa,major new lineages of sars-cov-2 emerge and spread in south africa during lockdown .,Discovery-Validation
researchers,develops,in-home testing for covid-19,"researchers race to develop in-home testing for covid-19 , a potential game changer",Research-Test
in-home testing for covid-19,isa,potential game changer,"researchers race to develop in-home testing for covid-19 , a potential game changer",Others
inactivated rabies virus vectored sars-cov-2 vaccine,prevents,sars-cov-2,inactivated rabies virus vectored sars-cov-2 vaccine prevents disease in a syrian hamster model .,Cause-Effect
chloroquine,prevents,hmgb1 inflammatory signaling,chloroquine inhibits hmgb1 inflammatory signaling and protects mice from lethal sepsis,Cause-Effect
chloroquine,protects,lethal sepsis,chloroquine inhibits hmgb1 inflammatory signaling and protects mice from lethal sepsis,Treatment
study,shows,odor-sensing cells in the nose are the key entry point for sars cov-2,study adds to evidence that odor-sensing cells in the nose are the key entry point for sars cov-2,Discovery-Validation
mcconnell,stops,more covid-19 aid,"mcconnell declares war on blue states , dismisses more covid-19 aid",Cause-Effect
neutrophil activation signature,predicts,critical illness,a neutrophil activation signature predicts critical illness and mortality in covid-19,Predicts
neutrophil activation signature,predicts,mortality in covid-19,a neutrophil activation signature predicts critical illness and mortality in covid-19,Predicts
candesartan,affects,covid-19 cytokine storm,candesartan could ameliorate the covid-19 cytokine storm,Cause-Effect
cdc,announces,modifications and extension of no sail order for all cruise ships,cdc announces modifications and extension of no sail order for all cruise ships,Discovery-Validation
afucosylated immunoglobulin g responses,isa,hallmark of enveloped virus infections,afucosylated immunoglobulin g responses are a hallmark of enveloped virus infections and show an exacerbated phenotype in covid-19,Others
afucosylated immunoglobulin g responses,shows,an exacerbated phenotype in covid-19,afucosylated immunoglobulin g responses are a hallmark of enveloped virus infections and show an exacerbated phenotype in covid-19,Discovery-Validation
front-runner vaccine,shows,promise in older people,a front-runner vaccine shows promise in older people,Discovery-Validation
age,affects,risk of covid-19 hospitalisation,"risk of covid-19 hospitalisation rises exponentially with age , inversely proportional to t-cell production",Cause-Effect
t-cell production,affects,risk of covid-19 hospitalisation,"risk of covid-19 hospitalisation rises exponentially with age , inversely proportional to t-cell production",Cause-Effect
experimental covid-19 vaccine,protects,upper and lower airways in nonhuman primates,experimental covid-19 vaccine protects upper and lower airways in nonhuman primates,Treatment
researchers,develops,multiple molecules,researchers identify multiple molecules that shut down sars-cov-2 polymerase reaction,Research-Test
remdesivir,prevents,sars-cov-2 replication,remdesivir but not famotidine inhibits sars-cov-2 replication in human pluripotent stem cell-derived intestinal organoids,Cause-Effect
famotidine,prevents,sars-cov-2 replication,remdesivir but not famotidine inhibits sars-cov-2 replication in human pluripotent stem cell-derived intestinal organoids,Cause-Effect
full-dose clot prophylaxis,prevents,severe covid-19,full-dose clot prophylaxis halted for severe covid-19 in nhlbi trial.,Cause-Effect
sars-cov-2,infects,human neural progenitor cells,sars-cov-2 infects human neural progenitor cells and brain organoids,Transmit-Infect
sars-cov-2,infects,brain organoids,sars-cov-2 infects human neural progenitor cells and brain organoids,Transmit-Infect
serological responses to human virome,develops,clinical outcomes of italian patients infected with sars-cov-2,serological responses to human virome define clinical outcomes of italian patients infected with sars-cov-2.,Research-Test
imperial scientists,predicts,coronavirus fatality rate,coronavirus fatality rate estimated by imperial scientists,Predicts
human brain vasculature,shows,distinct expression pattern of sars-cov-2 entry factors,the human brain vasculature shows a distinct expression pattern of sars-cov-2 entry factors,Discovery-Validation
st. jude researchers,develops,origins of deadly inflammation,"in the lab , st. jude researchers uncover origins of deadly inflammation caused by the novel coronavirus",Research-Test
novel coronavirus,causes,deadly inflammation,"in the lab , st. jude researchers uncover origins of deadly inflammation caused by the novel coronavirus",Cause-Effect
if 70 % of people wore masks consistently,stops,covid-19 pandemic,covid-19 pandemic could end if 70 % of people wore masks consistently,Cause-Effect
functional fear,predicts,public health compliance in the covid-19 pandemic,functional fear predicts public health compliance in the covid-19 pandemic,Predicts
modified vaccinia ankara based sars-cov-2 vaccine,causes,strong neutralizing antibody response,modified vaccinia ankara based sars-cov-2 vaccine expressing full-length spike induces strong neutralizing antibody response,Cause-Effect
sars-cov-2 viroporin,causes,nlrp3 inflammatory pathway,sars-cov-2 viroporin triggers the nlrp3 inflammatory pathway,Cause-Effect
gilead,develops,remdesivir,gilead 's coronavirus wonder-drug remdesivir is masking a board contagion,Research-Test
remdesivir,affects,coronavirus,gilead 's coronavirus wonder-drug remdesivir is masking a board contagion,Cause-Effect
cepi,develops,covid-19 vaccine,cepi and sk bioscience extend collaboration to develop next generation covid-19 vaccine,Research-Test
sk bioscience,develops,covid-19 vaccine,cepi and sk bioscience extend collaboration to develop next generation covid-19 vaccine,Research-Test
bra manufacturer,develops,masks,"a bra manufacturer has begun making masks , instead of bras",Research-Test
bcg vaccination,helps,reduce the impact of covid-19,considering bcg vaccination to reduce the impact of covid-19,Provision-Support
childhood immunizations,protects,sars-cov-2 through adaptive cross-immunity,lack of immune homology with vaccine preventable pathogens suggests childhood immunizations do not protect against sars-cov-2 through adaptive cross-immunity,Treatment
poverty and economic dislocation,increase,compliance with covid-19 shelter-in-place protocols,poverty and economic dislocation reduce compliance with covid-19 shelter-in-place protocols,Cause-Effect
reappearance of effector t cells,predicts,successful recovery from covid-19,reappearance of effector t cells predicts successful recovery from covid-19,Predicts
sulfated polysaccharides,prevents,sars-cov-2 in vitro,sulfated polysaccharides effectively inhibit sars-cov-2 in vitro,Cause-Effect
mcdonald,prevents,seating,mcdonald 's to shut seating and play areas due to covid-19,Cause-Effect
mcdonald,prevents,play areas,mcdonald 's to shut seating and play areas due to covid-19,Cause-Effect
sars-cov-2 infection control implementation,shows,directions for three age groups in japan,sars-cov-2 infection control implementation based on sources of infection showing directions for three age groups in japan.,Discovery-Validation
algernon,develops,trial of ifenprodil in covid-19 patients,algernon retains novotech for trial of ifenprodil in covid-19 patients,Research-Test
novotech,develops,trial of ifenprodil in covid-19 patients,algernon retains novotech for trial of ifenprodil in covid-19 patients,Research-Test
trim28,regulates,sars-cov-2 cell entry,trim28 regulates sars-cov-2 cell entry by targeting ace2,Regulation
sars-cov-2-specific peripheral t follicular helper cells,correlation,neutralizing antibodies,sars-cov-2-specific peripheral t follicular helper cells correlate with neutralizing antibodies and increase during convalescence .,Association
sars-cov-2-specific peripheral t follicular helper cells,increase,during convalescence,sars-cov-2-specific peripheral t follicular helper cells correlate with neutralizing antibodies and increase during convalescence .,Cause-Effect
sars-cov-2 replication,causes,mda-5-dependent interferon production,sars-cov-2 replication triggers an mda-5-dependent interferon production which is unable to efficiently control replication,Cause-Effect
mda-5-dependent interferon production,prevents,replication,sars-cov-2 replication triggers an mda-5-dependent interferon production which is unable to efficiently control replication,Cause-Effect
stat2 signaling,inhibits,viral dissemination,stat2 signaling restricts viral dissemination but drives severe pneumonia in sars-cov-2 infected hamsters,Cause-Effect
stat2 signaling,causes,severe pneumonia in sars-cov-2 infected hamsters,stat2 signaling restricts viral dissemination but drives severe pneumonia in sars-cov-2 infected hamsters,Cause-Effect
alberta,prevents,all public gatherings of more than 250 people,alberta bans all public gatherings of more than 250 people and asks all those returning from other countries self-isolate for 14 days .,Cause-Effect
niclosamide,prevents,sars-cov2 entry by blocking internalization through ph-dependent clic/geec endocytic pathway,niclosamide inhibits sars-cov2 entry by blocking internalization through ph-dependent clic/geec endocytic pathway.,Cause-Effect
red blood cell distribution width,association,mortality risk in hospitalized adults with sars-cov-2 infection,red blood cell distribution width and mortality risk in hospitalized adults with sars-cov-2 infection.,Association
fda,approves,two-minute antibody testing kit to detect coronavirus,fda authorizes two-minute antibody testing kit to detect coronavirus,Regulation
structural modeling of 2019-novel coronavirus spike protein,announces,proteolytically-sensitive activation loop as a distinguishing feature compared to sars-cov and related sars-like coronaviruses,structural modeling of 2019-novel coronavirus spike protein reveals a proteolytically-sensitive activation loop as a distinguishing feature compared to sars-cov and related sars-like coronaviruses,Discovery-Validation
harm reduction principles,helps,restore trust in public health messaging on covid-19,harm reduction principles can help us restore trust in public health messaging on covid-19,Provision-Support
the first interim data analysis of the sputnik v vaccine against covid-19 phase iii clinical trials in the russian federation,shows,92 % efficacy,the first interim data analysis of the sputnik v vaccine against covid-19 phase iii clinical trials in the russian federation demonstrated 92 % efficacy,Discovery-Validation
sars-cov-2,causes,"chronic , tgf-î²-dominated adaptive immune response","in severe covid-19 , sars-cov-2 induces a chronic , tgf-î²-dominated adaptive immune response",Cause-Effect
potent neutralizing antibodies,develops,multiple targets of vulnerability,potent neutralizing antibodies from covid-19 patients define multiple targets of vulnerability,Research-Test
active compound in wp1122,increase,in vitro replication of sars-cov-2 by 100 %,active compound in wp1122 reduces in vitro replication of sars-cov-2 by 100 %,Cause-Effect
sars-cov-2,causes,durable and antigen specific humoral immunity after asymptomatic to mild covid-19 infection,sars-cov-2 induces a durable and antigen specific humoral immunity after asymptomatic to mild covid-19 infection.,Cause-Effect
serum 25d level on hospital admission,association,covid-19 stage and mortality,serum 25d level on hospital admission associated with covid-19 stage and mortality,Association
artificial intelligence-enabled phenomic analysis of human cells infected with sars-cov-2,develops,potential treatments for covid-19,identification of potential treatments for covid-19 through artificial intelligence-enabled phenomic analysis of human cells infected with sars-cov-2,Research-Test
new look at covid-19 cases,supports,link between bcg vaccination and lower mortality,new look at covid-19 cases does not support link between bcg vaccination and lower mortality,Provision-Support
regn-cov2 antibody cocktail,prevents,sars-cov-2 infection,regn-cov2 antibody cocktail prevents and treats sars-cov-2 infection in rhesus macaques and hamsters,Cause-Effect
regn-cov2 antibody cocktail,treats,sars-cov-2 infection,regn-cov2 antibody cocktail prevents and treats sars-cov-2 infection in rhesus macaques and hamsters,Treatment
st. jude scientists,develops,possible covid-19 treatment,"in the lab , st. jude scientists identify possible covid-19 treatment",Research-Test
approved dose of ivermectin alone,isa,the ideal dose for the treatment of covid-19,the approved dose of ivermectin alone is not the ideal dose for the treatment of covid-19,Others
proton pump inhibitor use,association,increased risk of severity and mortality from coronavirus disease 2019 infection,proton pump inhibitor use is associated with increased risk of severity and mortality from coronavirus disease 2019 infection,Association
blood test,develops,past infections with new coronavirus,blood test detects past infections with new coronavirus,Research-Test
taiwan scientists,develops,antibodies for 15-minute wuhan virus test in 19 days,taiwan scientists develop antibodies for 15-minute wuhan virus test in 19 days,Research-Test
selenium deficiency,association,mortality risk from covid-19,selenium deficiency is associated with mortality risk from covid-19,Association
pulmonary vascular dilation,causes,hypoxemia in covid-19-related pneumonia,pulmonary vascular dilation may cause hypoxemia in covid-19-related pneumonia,Cause-Effect
generational war,develops,over coronavirus,a generational war is brewing over coronavirus,Research-Test
d614g mutation of sars-cov-2 spike protein,improves,viral infectivity,the d614g mutation of sars-cov-2 spike protein enhances viral infectivity and decreases neutralization sensitivity to individual convalescent sera,Cause-Effect
d614g mutation of sars-cov-2 spike protein,increase,neutralization sensitivity to individual convalescent sera,the d614g mutation of sars-cov-2 spike protein enhances viral infectivity and decreases neutralization sensitivity to individual convalescent sera,Cause-Effect
nyc map,shows,patients testing positive for coronavirus,nyc map shows patients testing positive for coronavirus,Discovery-Validation
plasma proteomics,announces,tissue-specific cell death and mediators of cell-cell interactions in severe covid-19 patients,plasma proteomics reveals tissue-specific cell death and mediators of cell-cell interactions in severe covid-19 patients,Discovery-Validation
sars-cov-2,causes,immune dysregulation in covid-19 patients,sars-cov-2 activates lung epithelia cell proinflammatory signaling and leads to immune dysregulation in covid-19 patients by single-cell sequencing,Cause-Effect
jeff bezos,announces,fourth great unlock testing kits for covid19,jeff bezos and amazon revealed fourth great unlock testing kits for covid19,Discovery-Validation
amazon,announces,fourth great unlock testing kits for covid19,jeff bezos and amazon revealed fourth great unlock testing kits for covid19,Discovery-Validation
us,tests,people with flu symptoms for coronavirus,"us will start testing people with flu symptoms for coronavirus , officials say",Research-Test
dreamlab app,helps,fight coronavirus,dreamlab app helps fight coronavirus by having phones run calculations while we sleep .,Provision-Support
facemasks,increase,exposure hazards for airborne infections among general populations,effectiveness of facemasks to reduce exposure hazards for airborne infections among general populations,Cause-Effect
chadox1 ncov-19 vaccine,prevents,sars-cov-2 pneumonia in rhesus macaques,chadox1 ncov-19 vaccine prevents sars-cov-2 pneumonia in rhesus macaques,Cause-Effect
clinical predictors,predicts,mortality due to covid-19,"clinical predictors of mortality due to covid-19 based on an analysis of data of 150 patients from wuhan , china",Predicts
blood type,related_to,covid-19 risk and severity,"blood type could be linked to covid-19 risk and severity , new research suggests",Association
analysis of hospital traffic and search engine data in wuhan china,shows,early disease activity in the fall of 2019,comment on analysis of hospital traffic and search engine data in wuhan china indicates early disease activity in the fall of 2019 by nsoesie et al .,Discovery-Validation
sars-cov-2 infection,affects,airway motile cilia,sars-cov-2 infection damages airway motile cilia and impairs mucociliary clearance,Cause-Effect
sars-cov-2 infection,affects,mucociliary clearance,sars-cov-2 infection damages airway motile cilia and impairs mucociliary clearance,Cause-Effect
corticosteroids,affects,preventing mortality in patients receiving tocilizumab to treat severe covid-19 illness,beneficial effect of corticosteroids in preventing mortality in patients receiving tocilizumab to treat severe covid-19 illness,Cause-Effect
group or team activity in city parks,isa,banned,"'walkthroughs are still permitted , but any group or team activity in city parks is banned . '",Others
walkthrough,isa,permitted,"'walkthroughs are still permitted , but any group or team activity in city parks is banned . '",Others
predictors,predicts,symptomatic laboratory-confirmed sars-cov-2 reinfection,predictors of symptomatic laboratory-confirmed sars-cov-2 reinfection,Predicts
india,tests,100-yr-old vaccine on humans,india to test 100-yr-old vaccine on humans as war against covid-19 heats up,Research-Test
antigen-based testing,correlation,sars-cov-2 virus culture,antigen-based testing but not real-time pcr correlates with sars-cov-2 virus culture,Association
real-time pcr,correlation,sars-cov-2 virus culture,antigen-based testing but not real-time pcr correlates with sars-cov-2 virus culture,Association
lilly,announces,proof of concept data for neutralizing antibody ly-cov555 in the covid-19 outpatient setting,lilly announces proof of concept data for neutralizing antibody ly-cov555 in the covid-19 outpatient setting,Discovery-Validation
biotech company moderna,develops,first potential vaccine,"biotech company moderna has first potential vaccine , developed in only 42 days .",Research-Test
first potential vaccine,develops,in only 42 days,"biotech company moderna has first potential vaccine , developed in only 42 days .",Research-Test
russia,develops,coronavirus vaccine,"russia unveils coronavirus vaccine , claiming victory in global race before final testing is complete",Research-Test
russia,announces,victory in global race before final testing is complete,"russia unveils coronavirus vaccine , claiming victory in global race before final testing is complete",Discovery-Validation
scientists,shows,sars-cov-2 potential to infect human brain organoids,scientists prove sars-cov-2 potential to infect human brain organoids,Discovery-Validation
ace2,isa,functional receptor for sars-cov-2,"covid-19 and the cardiovascular system < < given that ace2 is a functional receptor for sars-cov-2 , the safety and potential effects of antihypertension therapy with ace inhibitors or angiotensin-receptor blockers in patients with covid-19 should be carefully considered .",Others
antihypertension therapy with ace inhibitors,affects,covid-19,"covid-19 and the cardiovascular system < < given that ace2 is a functional receptor for sars-cov-2 , the safety and potential effects of antihypertension therapy with ace inhibitors or angiotensin-receptor blockers in patients with covid-19 should be carefully considered .",Cause-Effect
angiotensin-receptor blockers,affects,covid-19,"covid-19 and the cardiovascular system < < given that ace2 is a functional receptor for sars-cov-2 , the safety and potential effects of antihypertension therapy with ace inhibitors or angiotensin-receptor blockers in patients with covid-19 should be carefully considered .",Cause-Effect
systemic complement activation,association,respiratory failure in covid-19 hospitalized patients,systemic complement activation is associated with respiratory failure in covid-19 hospitalized patients,Association
a more contagious coronavirus strain,identifies,8 states and 33 countries,a more contagious coronavirus strain has been found in 8 states and 33 countries .,Discovery-Validation
leronlimab phase 2 trial,treats,covid-19,cytodyn to begin enrollment for leronlimab phase 2 trial to treat covid-19,Treatment
ad26 vaccine,protects,sars-cov-2 severe clinical disease in hamsters,ad26 vaccine protects against sars-cov-2 severe clinical disease in hamsters,Treatment
baricitinib in combination with remdesivir,increase,time to recovery in hospitalized patients with covid-19,baricitinib in combination with remdesivir reduces time to recovery in hospitalized patients with covid-19 in niaid-sponsored actt-2 trial,Cause-Effect
niaid-sponsored actt-2 trial,shows,reduces time to recovery in hospitalized patients with covid-19,baricitinib in combination with remdesivir reduces time to recovery in hospitalized patients with covid-19 in niaid-sponsored actt-2 trial,Discovery-Validation
fda,approves,monoclonal antibodies for treatment of covid-19,fda authorizes monoclonal antibodies for treatment of covid-19,Regulation
hydroxychloroquine application,association,decreased mortality in critically ill patients with covid-19,hydroxychloroquine application is associated with a decreased mortality in critically ill patients with covid-19,Association
synbiobeta,develops,projected timeline for treatment and prevention,projected timeline for treatment and prevention by synbiobeta,Research-Test
low dose of hydroxychloroquine,increase,fatality of critically ill patients with covid-19,low dose of hydroxychloroquine reduces fatality of critically ill patients with covid-19,Cause-Effect
the university of liverpool,develops,an online database,the university of liverpool have developed an online database for checking drug-drug interactions with the experimental covid-19 specific medicinal products,Research-Test
inflammatory cytokine signature,predicts,covid-19 severity and survival,an inflammatory cytokine signature predicts covid-19 severity and survival,Predicts
composition of the immunoglobulin g glycome,association,severity of covid-19,composition of the immunoglobulin g glycome associates with the severity of covid-19,Association
granulocytic signature,identifies,covid-19 and its severity,a granulocytic signature identifies covid-19 and its severity,Discovery-Validation
reven,announces,coronavirus treatment acceleration program submission,reven announces coronavirus treatment acceleration program submission to the fda,Discovery-Validation
high cortisol levels,association,greater risk of death,high cortisol levels associated with greater risk of death from covid-19,Association
covid-19 transmission rates,isa,highly seasonal,causal empirical estimates suggest covid-19 transmission rates are highly seasonal,Others
viral polymorphisms,association,paediatric inflammatory multisystem syndrome,no evidence of viral polymorphisms associated with paediatric inflammatory multisystem syndrome temporally associated with sars-cov-2.,Association
paediatric inflammatory multisystem syndrome,association,sars-cov-2,no evidence of viral polymorphisms associated with paediatric inflammatory multisystem syndrome temporally associated with sars-cov-2.,Association
extracellular vesicle-based vaccine platform,shows,native viral envelope proteins,extracellular vesicle-based vaccine platform displaying native viral envelope proteins elicits a robust anti-sars-cov-2 response in mice.,Discovery-Validation
extracellular vesicle-based vaccine platform,causes,robust anti-sars-cov-2 response,extracellular vesicle-based vaccine platform displaying native viral envelope proteins elicits a robust anti-sars-cov-2 response in mice.,Cause-Effect
ambroxol hydrochloride,prevents,interaction,ambroxol hydrochloride inhibits the interaction between severe acute respiratory syndrome coronavirus 2 spike protein's receptor binding domain and recombinant human ace2.,Cause-Effect
study,identifies,fewer than 1 in 10 americans have antibodies to coronavirus,"fewer than 1 in 10 americans have antibodies to coronavirus, study finds",Discovery-Validation
ace2,develops,protective action against thrombosis,ace2 exhibits protective action against thrombosis,Research-Test
the analysis,announces,profound nkt cell impairment,the analysis of the long-term impact of sars-cov-2 on the cellular immune system in individuals recovering from covid-19 reveals a profound nkt cell impairment,Discovery-Validation
sars-cov-2 proteins,causes,lytic reactivation of an oncogenic virus,sars-cov-2 proteins and anti-covid-19 drugs induce lytic reactivation of an oncogenic virus,Cause-Effect
anti-covid-19 drugs,causes,lytic reactivation of an oncogenic virus,sars-cov-2 proteins and anti-covid-19 drugs induce lytic reactivation of an oncogenic virus,Cause-Effect
sars-cov-2 d614g variant,develops,efficient replication ex vivo,sars-cov-2 d614g variant exhibits efficient replication ex vivo and transmission in vivo,Research-Test
sars-cov-2 d614g variant,develops,transmission in vivo,sars-cov-2 d614g variant exhibits efficient replication ex vivo and transmission in vivo,Research-Test
researchers,identifies,a protein,researchers identify a protein that may help sars-cov-2 spread rapidly through cells,Discovery-Validation
a protein,helps,sars-cov-2 spread rapidly through cells,researchers identify a protein that may help sars-cov-2 spread rapidly through cells,Provision-Support
cms,develops,broad regulatory flexibilities,cms implements broad regulatory flexibilities to respond to covid-19 national emergency,Research-Test
instant coffee covid-19 tests,isa,the answer to reopening the u.s,instant coffee covid-19 tests could be the answer to reopening the u.s .,Others
nitric oxide,increase,progression of covid-19,nitric oxide may slow progression of covid-19,Cause-Effect
buildings with older faulty plumbing,transmits,disease,"a study from the 2003 sars outbreak , and a recent corona virus case , suggest buildings with older faulty plumbing can transmit the disease to people on separate floors .",Transmit-Infect
sars-cov-2 lethality,increase,over time in two italian provinces,sars-cov-2 lethality decreased over time in two italian provinces,Cause-Effect
fruitful neutralizing antibody pipeline,affects,sars-cov-2,fruitful neutralizing antibody pipeline brings hope to defeat sars-cov-2,Cause-Effect
abo blood group o,increase,prevalence of sars-cov-2 infection,reduced prevalence of sars-cov-2 infection in abo blood group o,Cause-Effect
young kids,transmits,covid-19,young kids could spread covid-19 as much as older children and adults,Transmit-Infect
older children,transmits,covid-19,young kids could spread covid-19 as much as older children and adults,Transmit-Infect
adults,transmits,covid-19,young kids could spread covid-19 as much as older children and adults,Transmit-Infect
sars-cov-2,causes,robust adaptive immune responses,sars-cov-2 elicits robust adaptive immune responses regardless of disease severity,Cause-Effect
ivermectin,isa,specific inhibitor of importin î±/î²-mediated nuclear import,ivermectin is a specific inhibitor of importin î±/î²-mediated nuclear import able to inhibit replication of hiv-1 and dengue virus,Others
ivermectin,prevents,replication of hiv-1 and dengue virus,ivermectin is a specific inhibitor of importin î±/î²-mediated nuclear import able to inhibit replication of hiv-1 and dengue virus,Cause-Effect
weekly covid-19 testing,isa,feasible,weekly covid-19 testing with household quarantine and contact tracing is feasible and would probably end the epidemic,Others
weekly covid-19 testing,affects,the epidemic,weekly covid-19 testing with household quarantine and contact tracing is feasible and would probably end the epidemic,Cause-Effect
darpa,develops,firebreak treatment,darpa races to create firebreak treatment for the coronavirus,Research-Test
antibody titers,correlation,neutralizing activity,poor correlation between antibody titers and neutralizing activity in sera from sars-cov-2 infected subjects,Association
japanese flu drug,affects,coronavirus,"japanese flu drug 'clearly effective ' in treating coronavirus , says china",Cause-Effect
innate lymphoid cell composition,association,covid-19 disease severity,innate lymphoid cell composition associates with covid-19 disease severity,Association
face masks,affects,respiratory virus shedding in exhaled breath,respiratory virus shedding in exhaled breath and efficacy of face masks,Cause-Effect
influenza a virus,improves,sars-cov-2 infectivity,co-infection of influenza a virus enhances sars-cov-2 infectivity,Cause-Effect
belief in covid-19 conspiracy theories,increase,social distancing over time,belief in covid-19 conspiracy theories reduces social distancing over time,Cause-Effect
covid-19 infection,causes,changes to the sebum lipidome,changes to the sebum lipidome upon covid-19 infection observed via non-invasive and rapid sampling from the skin,Cause-Effect
il6 inhibition,association,increased secondary infections,il6 inhibition in critically ill covid-19 patients is associated with increased secondary infections,Association
steroids,increase,deaths of hospitalized covid-19 patients,steroids cut deaths of hospitalized covid-19 patients by one-third,Cause-Effect
serological surveys,assesses,exposure of adult population to sars cov-2 infection,"findings from serological surveys to assess the exposure of adult population to sars cov-2 infection in three cities of odisha , india .",Research-Test
iga mab,prevents,sars-cov-2 spike-ace2 interaction,iga mab blocks sars-cov-2 spike-ace2 interaction providing mucosal immunity,Cause-Effect
iga mab,provides,mucosal immunity,iga mab blocks sars-cov-2 spike-ace2 interaction providing mucosal immunity,Provision-Support
antibody positivity to sars-cov-2,association,decreased risk of future infection,real-world data suggest antibody positivity to sars-cov-2 is associated with a decreased risk of future infection.,Association
host-viral infection maps,shows,signatures of severe covid-19 patients,host-viral infection maps reveal signatures of severe covid-19 patients,Discovery-Validation
neutralizing antibodies,correlation,protection from sars-cov-2 in humans,neutralizing antibodies correlate with protection from sars-cov-2 in humans during a fishery vessel outbreak with a high attack rate,Association
inhibition of pikfyve kinase,prevents,infection by zaire ebolavirus and sars-cov-2,inhibition of pikfyve kinase prevents infection by zaire ebolavirus and sars-cov-2,Cause-Effect
"triple combination nitazoxanide , ribavirin , and hydroxychloroquine",increase,sars-cov-2 viral replication,"triple combination nitazoxanide , ribavirin , and hydroxychloroquine results in the multiplicative reduction of in vitro sars-cov-2 viral replication.",Cause-Effect
higher serum levels of chemokine ccl19,association,poor sars-cov-2 acute respiratory distress syndrome outcomes,higher serum levels of chemokine ccl19 are associated with poor sars-cov-2 acute respiratory distress syndrome outcomes .,Association
outbreak of covid-19,association,recreational hockey game,an outbreak of covid-19 associated with a recreational hockey game,Association
coronavirus,transmits,several cities,iran says coronavirus has spread to several cities.,Transmit-Infect
redhill biopharma 's opaganib,shows,complete inhibition of sars-cov-2,redhill biopharma 's opaganib demonstrates complete inhibition of sars-cov-2,Discovery-Validation
uk labs,develops,tens of thousands more tests,uk labs 'can process tens of thousands more tests ',Research-Test
the use of povidone iodine nasal spray and mouthwash,increase,cross infection and protect healthcare workers,the use of povidone iodine nasal spray and mouthwash during the current covid-19 pandemic may reduce cross infection and protect healthcare workers,Cause-Effect
steve goodman,announces,confirmed cases a pointless metric,"confirmed cases a pointless metric , says steve goodman , a professor of epidemiology at stanford university",Discovery-Validation
steve goodman,isa,professor of epidemiology at stanford university,"confirmed cases a pointless metric , says steve goodman , a professor of epidemiology at stanford university",Others
the ace2 expression in sertoli cells and germ cells,causes,male reproductive disorder after sars-cov-2 infection,the ace2 expression in sertoli cells and germ cells may cause male reproductive disorder after sars-cov-2 infection,Cause-Effect
covid-19,increase,contraceptives,"millions of women lose contraceptives , abortions in covid-19",Cause-Effect
covid-19,increase,abortions,"millions of women lose contraceptives , abortions in covid-19",Cause-Effect
ethereum,prevents,china 's covid-19 censorship,chinese netizens use ethereum to avoid china 's covid-19 censorship,Cause-Effect
sars-cov-2 infection,causes,human neutralizing antibodies,human neutralizing antibodies elicited by sars-cov-2 infection,Cause-Effect
salt-coated masks,affects,strong viral deactivation rate,salt-coated masks achieve strong viral deactivation rate,Cause-Effect
sars-cov-2 infections and covid-19 mortalities,correlation,ace1 i/d genotype,sars-cov-2 infections and covid-19 mortalities strongly correlate with ace1 i/d genotype,Association
hydroxychloroquine,affects,hamsters and macaques infected with sars-cov-2,hydroxychloroquine proves ineffective in hamsters and macaques infected with sars-cov-2,Cause-Effect
u.s. company,announces,upcoming home covid-19 test,the first u.s. company has announced an upcoming home covid-19 test,Discovery-Validation
genomic surveillance,announces,"mixed imported populations , a local lineage expansion and a virus with truncated orf7a","genomic surveillance of sars-cov-2 in thailand reveals mixed imported populations , a local lineage expansion and a virus with truncated orf7a",Discovery-Validation
cdc study,shows,geographic origin of sars-covid-19 in new york is from europe rather than china,cdc study found geographic origin of sars-covid-19 in new york is from europe rather than china .,Discovery-Validation
github,isa,free speech zone for covid-19 information,"in china , github is a free speech zone for covid-19 information",Others
severe covid-19,association,elevated serum iga and antiphospholipid iga-antibodies,severe covid-19 is associated with elevated serum iga and antiphospholipid iga-antibodies,Association
azd1222 vaccine,affects,preventing covid-19,azd1222 vaccine met primary efficacy endpoint in preventing covid-19,Cause-Effect
sars-cov-2,infects,human brain organoids,sars-cov-2 can infect human brain organoids,Transmit-Infect
u.k.,approves,pfizer coronavirus vaccine,"u.k. approves pfizer coronavirus vaccine , a first in the west",Regulation
hong kong,announces,first documented coronavirus reinfection,first documented coronavirus reinfection reported in hong kong,Discovery-Validation
kids,transmits,covid-19,"kids rarely transmit covid-19 , say uvm docs in top journal",Transmit-Infect
less severe course of covid-19,association,elevated levels of antibodies against seasonal human coronaviruses oc43 and hku1,less severe course of covid-19 is associated with elevated levels of antibodies against seasonal human coronaviruses oc43 and hku1,Association
surgical mask partition,increase,risk of non-contact transmission,surgical mask partition reduces the risk of non-contact transmission in a golden syrian hamster model for coronavirus disease 2019,Cause-Effect
cold-adapted live attenuated sars-cov-2 vaccine,protects,human ace2 transgenic mice from sars-cov-2 infection,cold-adapted live attenuated sars-cov-2 vaccine completely protects human ace2 transgenic mice from sars-cov-2 infection,Treatment
fda,approves,first test that detects neutralizing antibodies from recent or prior sars-cov-2 infection,fda authorizes first test that detects neutralizing antibodies from recent or prior sars-cov-2 infection,Regulation
increased risk of noninfluenza respiratory virus infections,association,receipt of inactivated influenza vaccine,increased risk of noninfluenza respiratory virus infections associated with receipt of inactivated influenza vaccine,Association
